bin1	bin2	Case	Ctrl	Tstat	Pvalue	Ctrl.ll	Ctrl.h	Ctrl.v	FDR
1	2	255.090354022988	368.373786772129	-8.05553073244178	1.35517769410127e-14	NA	423.853358195458	NA	3.83188175573462e-13
1	3	350.392062895928	373.636950822565	-1.43913738368119	0.151276219897002	NA	433.986485388622	NA	0.230141930084492
1	4	386.200492156863	376.885686633903	0.607488423696651	0.543969980906018	NA	440.162499640288	NA	0.624727429051729
1	5	435.31065952381	378.942544976973	3.24711292060105	0.0013296251248562	NA	445.691623510467	NA	0.00448680083284809
1	6	404.467795175439	384.091825468888	1.39132438998051	0.165211552266147	NA	453.881055514056	NA	0.244979155259024
1	7	411.161917628205	383.100889894865	2.05734148978474	0.0402939600716127	NA	428.924358415161	242.292006985294	0.0756088037957035
1	8	394.729850184502	382.282322718095	0.872821235481283	0.383379045526011	254.754716533333	423.369976334751	270.843582378224	0.479223806907513
1	9	411.994108333333	380.980688300785	2.07181468978936	0.0391236045464888	277.261625809524	418.3031266524	273.161473333333	0.0740908908270688
1	10	428.008075328947	382.271145869278	3.24870638585609	0.00126420599398247	290.416722975783	422.427371740457	327.915915043036	0.00430144778035528
1	11	442.823113821138	381.804764017493	3.90475084232249	0.000117600100131278	306.697658251282	423.288388498067	335.297012750677	0.000606491082438036
1	12	441.814364750958	382.440328744922	4.048879048345	6.50628421045487e-05	321.661073434618	425.011674775433	330.7377122622	0.000360135785680861
1	13	457.174339705882	385.087076864434	5.05840549429669	6.40211115911226e-07	330.305005227245	437.830940448928	353.490855692557	5.96560358008188e-06
1	14	458.556544326241	387.160455384458	4.93092085842724	1.28560202508608e-06	339.499034049501	443.427351459132	365.013293613744	1.11261507900349e-05
1	15	450.502850537634	390.506455610332	4.5815895607604	6.41415599767301e-06	348.897835769243	450.282860823877	371.975795599078	4.4953913829845e-05
1	16	452.173631692308	392.539351416281	4.14522586168503	4.16276515489186e-05	356.204843033407	450.353835980468	381.077893589744	0.000245573196187865
1	17	447.051388122605	394.683361237056	3.5096714814715	0.000515064961732609	365.48409852598	451.847829562805	373.275702007576	0.00204035395468956
1	18	455.291957615894	395.582289981504	4.47154030709753	1.03165169304171e-05	373.597359142898	453.681822036049	368.528675022989	7.04961990245166e-05
1	19	445.06071	395.799902335411	3.88875720833647	0.000115988592968044	378.526576307546	453.758210700526	372.41224817757	0.000601966115403773
1	20	477.164427734375	395.605291469696	5.33390476160136	1.91834623825216e-07	383.156162485287	453.470724562023	395.807114617347	2.0973918871557e-06
1	21	463.522059863946	395.090757150615	5.10187032483615	5.50328296657623e-07	389.905651914699	450.907530116617	387.83178769432	5.18700233631323e-06
1	22	459.652762816901	393.406034937931	4.87788861048946	1.51986127859394e-06	391.979722767323	446.654166805787	369.434875645562	1.28483118396601e-05
1	23	486.490947509579	393.198770813408	6.30043073229333	1.04764762196595e-09	395.169656590755	445.128560553039	389.479179309896	1.53405544645014e-08
1	24	466.653009747292	393.317426101375	5.25005701315609	2.74311942913844e-07	397.470802317963	441.968219227084	367.128602915672	2.84728852138421e-06
1	25	465.840436445783	393.786184123628	5.53256983860848	5.69743076263175e-08	397.612208903176	443.418816952501	383.215670219124	6.6741331790829e-07
1	26	455.487741914191	393.515554498146	4.59155789327179	6.08399621143211e-06	398.935856694973	442.684565584338	380.201181415575	4.30075594256408e-05
1	27	457.205420062696	394.468408616324	4.72934186537605	3.17409241457972e-06	399.457535768618	447.395543016895	374.699258668763	2.47881502852893e-05
1	28	442.517129385965	395.439154296977	3.15479159172456	0.00179322079407295	400.220611478773	452.413381667526	373.775295714286	0.0057439103560149
1	29	438.452743076923	396.977943431569	2.98716851083219	0.00304285733934398	403.085484497613	455.250585826462	366.657733333333	0.00884802488745414
1	30	439.84409454023	398.070609327616	3.11493863900081	0.00196731767370422	405.181886460361	457.838227703781	357.679702703985	0.00615725378792923
1	31	411.649452529183	397.498440573524	0.996132589484143	0.319989100568398	399.904004320771	455.793935853123	346.873487563775	0.415833696459725
1	32	404.007455033557	397.206337058591	0.550033936971167	0.582629212113592	397.704237973434	457.033119890117	335.909361098901	0.65267206821468
1	33	426.390175815217	395.985109368827	2.50561164211082	0.0125697052148932	392.661705064854	456.179668835412	352.17822529304	0.0289526917871136
1	34	434.801415679443	394.124954393554	2.92652116854474	0.00365921177027159	387.788184356303	454.019946654573	359.395043250198	0.0102035836111678
1	35	448.97120623053	392.192159972172	4.35297150972632	1.72132900875051e-05	385.002528004872	449.564474584612	376.883275617021	0.000112628344573125
1	36	441.482979733333	388.510918480245	4.08685240909046	5.17343819637266e-05	381.942452284308	441.926055257937	374.389563890855	0.000296658693778013
1	37	447.617986195286	385.376298944522	4.27693593822601	2.45233837955927e-05	379.771101398127	438.544818533173	377.219360168161	0.000151196802348767
1	38	433.618433015873	384.677524043674	3.53437530244217	0.000459994276627726	379.848192087891	433.128176766348	378.523718026779	0.00184899660213106
1	39	456.098254061625	384.481027656224	5.31909586455398	1.68202875308043e-07	379.67310547877	430.400316258993	386.482597479675	1.8638696993594e-06
1	40	437.543131205674	384.839180817157	3.63113158916455	0.000326794956234484	380.7152049067	430.829431382894	373.11091325	0.00147237287973779
1	41	430.074220348837	385.919528395103	3.54311714375303	0.000438631981536261	381.285068267738	429.804384864109	388.777817716408	0.00178058527158284
2	3	268.146314975845	373.128050032868	-6.55295313807806	3.14259064194182e-10	NA	410.253452593718	NA	5.15384865278459e-09
2	4	359.263365217391	375.057498235183	-0.963000039280185	0.336496980786102	NA	420.535578977845	NA	0.431005142005611
2	5	367.690932142857	376.447549815574	-0.46977477397391	0.639054572639735	NA	425.240328192346	NA	0.704334340812611
2	6	364.043272340426	381.836653554323	-1.18674946141373	0.236544978021569	NA	437.066109090909	NA	0.322204122886523
2	7	392.848227272727	380.381649496116	0.914569874433906	0.361126368062005	NA	441.900829148936	NA	0.452948553644986
2	8	376.224774774775	378.75429921202	-0.185501317783191	0.852969899122184	NA	422.288745248105	248.345508588957	0.885361161114166
2	9	391.663116908213	376.653472762721	1.0489919541709	0.295187146604105	257.92212885514	414.556949272129	260.091498732394	0.386050175782084
2	10	400.210351898734	377.690320684832	1.65603050800693	0.0987865260074978	273.924725607477	412.448387615959	320.851533781581	0.16168652959311
2	11	417.677388383838	376.97831033528	2.80425449955179	0.0054658014359189	294.916856662062	410.813161969989	326.044763501821	0.0141834087894098
2	12	444.294805069124	376.408564913994	4.45766280662379	1.25047393883307e-05	306.304875593587	410.467541605955	324.160624958541	8.33649292555379e-05
2	13	447.271132600733	379.073053867835	4.67945840508582	4.25098290478998e-06	319.953740674615	405.670894316994	328.397989076577	3.14036574948449e-05
2	14	437.066925321888	380.619351481544	3.98026383605092	8.80043015836641e-05	325.08071218641	415.333148303728	351.924991398104	0.00047165704116735
2	15	424.574566810345	383.597158524636	2.91416073774055	0.00385611911382745	336.128172176007	417.077435134828	352.653067904215	0.0104702571964851
2	16	445.06744745098	385.712291228255	3.9944859291499	8.1693937436695e-05	343.781219583761	417.261454113029	367.585717204969	0.000440717294066381
2	17	425.4615375	387.948583176711	2.49654523652212	0.0132044449839906	354.295520132088	422.409861235862	365.081130349327	0.0299934761409205
2	18	437.649134166667	388.909842601396	3.60057400121219	0.000373399737286032	363.80170620514	424.736965295038	357.587558924731	0.0016294846123844
2	19	436.827268309859	388.95046975174	3.70686749969809	0.000244440701773894	367.794753836086	426.985671821627	362.389029286604	0.00114537928831196
2	20	440.839725961538	388.69931182849	3.2184130783057	0.00147265513687074	371.948054843464	427.035528375954	384.834900905612	0.00490885045623582
2	21	445.166197468354	388.130434653267	4.06495411319594	6.27157685018913e-05	378.760555663407	428.49448722624	378.294264049217	0.000352239247750348
2	22	443.166439426523	386.189301573383	4.12564652249892	4.69693743834129e-05	380.392136565876	427.26534519716	361.267053630731	0.000275106335674276
2	23	441.34467952381	385.680053028217	3.63202682043906	0.000344516859134553	382.892176487991	427.206088707326	383.197354965368	0.00154373674584881
2	24	431.264543835616	386.69813889263	3.0674987566554	0.00239455169734084	387.191725739697	425.317534565803	357.212519960412	0.00719242634366114
2	25	426.245872284644	387.430407871316	3.00206330286068	0.00289351178009627	387.776206690863	425.600853552732	374.917529814815	0.00847385592742479
2	26	412.604077366255	387.636293156623	1.7977550731768	0.0732838049943766	389.587309809807	425.582536801505	371.581639468705	0.125343179212106
2	27	430.3912308	388.96094529043	2.93214484586739	0.00363563132681195	390.131840016226	428.459403311721	364.631666358543	0.010174804395856
2	28	434.479611827957	390.424600245221	2.6392463692685	0.00894542966108394	391.069071312276	430.67761937277	364.891988689024	0.0215110038770934
2	29	419.653862019231	392.128764791165	1.97502868746789	0.0494023351461854	394.154857247267	431.575086535565	357.603884513716	0.0906262076507204
2	30	420.623976071429	393.502988550545	2.12881362426416	0.0339971943116573	396.456781216999	429.522941757189	348.770111340304	0.067013700325863
2	31	390.869789686099	393.22775582666	-0.175764261764426	0.860615324541349	391.523585941697	428.137960529342	339.049549529915	0.891041118843315
2	32	389.209883665339	393.063422785603	-0.315664205966209	0.75247232184178	389.287946330055	428.846886572029	330.249896940789	0.800294817004228
2	33	406.123938869258	391.908897344065	1.17880001554595	0.239285378356916	384.571119892393	427.592859879883	346.814227177616	0.324857632868661
2	34	409.185864224138	389.94826215687	1.34429411588795	0.1799920464474	379.832403859524	426.738979189003	354.039348922037	0.264031266702806
2	35	419.66138247012	388.232576096745	2.28021837592165	0.0233143901672871	377.217200664794	424.499483519746	369.691188500712	0.0493999998376625
2	36	425.625412837838	384.430735093812	2.96150894724634	0.00327412113606929	374.710226727502	421.153887897183	369.693445580094	0.00935463181734084
2	37	419.877095634921	380.660452779802	2.53076325410711	0.0119182931528429	372.459856472582	414.44909150505	377.769867754111	0.0276073457212746
2	38	415.231785606061	380.080722018709	2.55606138024881	0.0110634930930759	373.374111852208	411.739159964753	375.201192725989	0.0262198391223187
2	39	421.705672569444	380.124172669984	2.95815490131395	0.00331400542511435	374.239388020979	407.208547945619	383.738044959273	0.00943570989095058
2	40	393.824475	380.557609611007	0.986898285430431	0.324571465671786	375.104027510279	407.087285130916	372.683107422803	0.420455927094573
