bin1	bin2	Case	Ctrl	Tstat	Pvalue	Ctrl.ll	Ctrl.h	Ctrl.v	FDR
1	2	230.010172	346.13165917201	-9.26886606195648	2.39296184481634e-18	NA	398.280517018837	NA	8.53142918586694e-17
1	3	333.039886772487	350.112790234534	-1.06674868812767	0.287253253043342	NA	407.490100644499	NA	0.388052170503361
1	4	355.515244537815	357.343180487697	-0.121659459691124	0.903254894951743	NA	415.167476523342	NA	0.931659136931358
1	5	356.091832240437	358.418913804773	-0.161954493643624	0.871490105144922	NA	421.876329962963	NA	0.915008817181608
1	6	370.677889915966	361.259491432044	0.725916667822075	0.468457040636788	NA	429.370483917695	NA	0.575052055871506
1	7	382.565861038961	360.536640888119	1.80269690655544	0.0721996020251595	NA	404.926036837652	233.922889250814	0.123857057867428
1	8	381.321327915194	359.505979696055	1.78894955910244	0.0744610981780304	233.690284863524	398.520671173261	268.502928864734	0.126939917891861
1	9	387.84677578125	360.081638245458	1.8984618016982	0.0585975472269538	263.649240922619	394.210301622715	265.894279231434	0.105372782294084
1	10	399.081473144876	359.210914780678	3.18760366646972	0.00156571846427405	264.967888247399	392.407055297376	319.299783010492	0.00537192109081475
1	11	419.801862222222	358.897370286762	4.47418324879515	1.14196369990761e-05	286.766369854823	389.922575419696	326.392285571161	7.55169543487291e-05
1	12	419.337765037594	360.033972025827	4.84624262741536	1.95459981765349e-06	302.842491117136	388.282473273258	317.177392779146	1.76128774777567e-05
1	13	437.638691331269	362.057001004999	5.99708221501017	4.60880053479045e-09	309.076714995228	401.801449240157	355.532652550753	6.63020427811959e-08
1	14	426.285682130584	363.580160885816	4.69757948178722	3.82212076024399e-06	321.13519180774	405.425258864404	367.983109197666	2.9291018910281e-05
1	15	421.680861886792	366.060764761722	4.49845972119264	9.58376618194294e-06	333.693824992817	408.948152746033	348.781801416667	6.6039397220111e-05
1	16	421.838537694704	368.026776750643	4.16020906299419	3.93337668904065e-05	340.284463125109	412.809786068677	360.061545034153	0.000230383491786666
1	17	411.962804508197	369.636965728016	2.987031482264	0.00306685138985924	346.626933805921	413.89520946616	360.259076612022	0.00948987977239463
1	18	415.450750352113	370.506887058585	3.54840019029505	0.000442812701484302	353.123197535457	417.138915524561	351.423684685535	0.00183442594190759
1	19	424.135388034188	372.827795856697	4.53632114219331	7.4192873210597e-06	358.372758050229	419.946200720707	358.051850615809	5.3366803537447e-05
1	20	441.995350592885	374.953033349758	4.85375299436045	1.97879510526309e-06	364.598134146824	419.075984972534	367.964459735931	1.76370868077797e-05
1	21	447.081149612403	374.422181656682	4.82086626753194	2.31057048905559e-06	367.729733345128	419.767030866992	359.9756373375	1.97361229273499e-05
1	22	419.399384876543	373.570304909752	3.56975679758172	0.000403027448553979	370.039865840382	417.560796827778	360.468103613861	0.00169478209135519
1	23	430.414332420091	373.814900847455	3.85425489901057	0.000148012444751758	372.31398237638	416.252628038929	377.089570542857	0.000709767278926558
1	24	442.211142510121	373.380592252468	5.13056253362475	5.33162449506633e-07	374.993333800433	414.864732883427	372.626476883681	5.46491510744299e-06
1	25	424.324264189189	371.971101496991	3.84182889140929	0.000145648592302013	375.388823029667	414.075151787752	373.67465651582	0.000706697311761245
1	26	422.484546405229	370.635223771708	4.13647455629288	4.3900905274039e-05	377.344213626063	414.451567488181	360.819738903967	0.00024826718844629
1	27	404.897531230284	370.017317850451	2.84516180439784	0.00468090056041233	378.182140081	413.486923326321	371.020986626425	0.0135152762659793
1	28	403.034521097046	368.399689918788	2.55578561928409	0.0111402037379884	378.404750856914	413.995357569019	345.609199772727	0.0273682461772982
1	29	407.848238431373	368.064802222331	2.88686028053722	0.0041838353350157	377.360843657616	415.327263207529	355.047249626016	0.0123408092615571
1	30	397.175152941176	367.419496643952	2.69144719878248	0.00740239816721461	380.050602907619	414.738844909098	352.010346167303	0.0196439045214109
1	31	390.578439525692	368.22959352681	1.85455636131639	0.064647297310469	376.433466060628	416.16577750486	322.687163815315	0.113513455662922
1	32	395.974298555957	367.521987972005	2.28358706711986	0.0230450319737541	373.631996339585	415.507776510715	330.668408749029	0.0493392329464187
1	33	403.443196875	366.420551243607	3.18170964009447	0.00157255105283386	370.754285816508	415.764547993364	338.812659245225	0.00537288276384901
1	34	394.107776534296	365.552390593133	2.56183180314291	0.0108458141958436	367.238643465417	416.850757407149	337.698804819608	0.0268687844126638
1	35	387.243315217391	364.849272840274	1.82418532259641	0.0690418539639109	365.924684103764	414.063137229014	346.310779146825	0.119945593750862
1	36	397.650221448468	362.492193301159	2.98916073082011	0.00295843201536094	362.520991531505	411.049494630923	336.081904706594	0.0092240085650037
1	37	394.793607638889	360.013050343875	2.39143054244927	0.0173523145227065	358.334824362317	406.367617851852	337.373941681853	0.0389832819414228
1	38	395.570196569921	358.341964240267	3.24481322297201	0.00126135190388498	354.278612877226	404.278634747725	340.725087016949	0.00447752623889906
1	39	401.012320718232	358.371645207545	3.60785928585194	0.000344899469853018	352.005162553995	401.567392506142	356.270989684524	0.00147609579349403
1	40	397.522125266904	357.863579262032	3.16303904681655	0.00170698418497005	351.831626439934	399.590731552288	348.871818749064	0.00578399599865885
1	41	411.171761337209	357.823926721253	4.50105707443494	8.80803324855499e-06	351.255413536211	402.657667678133	379.939280984848	6.12083666425007e-05
2	3	250.827061111111	351.006392702852	-6.40402095533283	9.69422597125169e-10	NA	390.900738460411	NA	1.44532096298662e-08
2	4	340.370364622641	357.640266550696	-1.12495181148665	0.261685374875746	NA	398.384164181287	NA	0.360036925164618
2	5	323.45977987013	358.45543518346	-2.25154806500398	0.0255584144016199	NA	402.494742699115	NA	0.053411537702113
2	6	354.792716931217	360.713022735086	-0.390695860080832	0.696394622823404	NA	407.507278734115	NA	0.784400536696692
2	7	380.471389453125	359.631867811798	1.45888986795042	0.145619218182024	NA	409.625124650934	NA	0.224029566433884
2	8	355.878529032258	357.939048526661	-0.153418770494453	0.878170184779284	NA	391.465114615706	249.627976266667	0.917324269450972
2	9	375.312959907834	357.816266719389	1.161322916974	0.246614441419991	249.679304615385	384.06933323244	257.591964323607	0.342172321428752
2	10	388.147327777778	356.821559421513	2.46821130190309	0.0141701380880161	257.086396250759	381.895277024854	312.623459135802	0.0335824081854717
2	11	391.179699516908	356.307019915786	2.36266900914094	0.0189564937086429	285.359800522243	381.605626148364	313.884104805871	0.042011688759695
2	12	405.033711158798	355.958813508386	3.62447761399765	0.000345622429696163	293.146623567502	383.643681431243	306.566576901815	0.00147609579349403
2	13	416.360732269504	357.385160293442	4.47918705571912	1.03421613169255e-05	299.141873121885	382.580667745205	331.158681705729	7.06714356656574e-05
2	14	394.67867164751	358.505772821232	2.6217995229481	0.00919249297137359	307.374889978011	390.913820451022	354.154438851449	0.0233369790604531
2	15	394.311927234043	360.877588479068	2.57427815945832	0.0105668657775406	320.50064179453	396.178302579302	334.389508865248	0.0263368691111953
2	16	393.327573333333	362.729347982734	2.3821351602544	0.0178013982052233	327.910949143518	399.496329971182	351.41703914966	0.0396661590442475
2	17	398.949864467005	364.566392241944	2.22533996880496	0.0270765181202542	335.024251474768	402.512000296057	351.183850661232	0.0559263094675276
2	18	411.857059030837	365.944956497523	3.21068160240741	0.00149256792322134	342.620075606806	403.605553111004	349.717718458529	0.00514246091193908
2	19	407.721702721088	368.254879645245	3.26607888651796	0.00119749876075638	348.647750951123	407.123445237853	350.978693946886	0.00428798682890931
2	20	410.45279138756	370.065294333289	2.99478473489927	0.00303241374427552	355.290520190261	408.515337858468	360.895683629725	0.00941886087237095
2	21	408.653666216216	369.368987077758	2.91808238546477	0.00383420612606136	358.847928026362	408.861242776505	354.322814954508	0.0114329055395284
2	22	415.449722344322	368.538182452246	3.49040138909332	0.000550989624962446	361.371276665344	408.78293690614	356.680075374016	0.00220395849984978
2	23	423.173434391534	368.095929388045	3.52781465976842	0.000514871952140407	363.449744736462	405.103003439213	372.086900123457	0.00207977832884302
2	24	426.645511764706	368.245260968573	4.02997769498028	7.41398464138581e-05	368.087687135019	403.272370191103	365.295009974093	0.000394770610775089
2	25	414.565853543307	367.193061986739	3.33833762049499	0.000954156133000453	368.516173566973	404.093854651976	367.944276546053	0.00350855618412723
2	26	403.948798106061	366.308006392094	2.79873698471751	0.00545931931750767	371.245822207863	401.741637987465	355.180866440972	0.0152266729263819
2	27	416.44433800738	365.892632094288	3.72653259436047	0.000230650564598784	372.017992055301	402.283009195558	365.663579108216	0.0010449362595083
2	28	382.852963316583	364.574259585999	1.21157516072126	0.226972697649685	372.128078713948	401.939647322517	337.563892182222	0.321446652975374
2	29	389.795174056604	364.60410265009	1.80718331102505	0.0719935752142845	371.096046040554	403.359400745081	348.056298321168	0.123857057867428
2	30	413.644338078292	364.415843041119	3.8355512566067	0.000150665900197167	374.041579890027	402.283560014083	345.223810335231	0.000718290919544635
2	31	381.030748292683	365.589413173189	1.08205402923681	0.280367966674969	370.061335803318	402.528935138494	315.81151282395	0.380002863923099
2	32	383.499621238938	365.109336960287	1.38268096704701	0.167963675784406	367.326753408261	403.848677792965	324.433334170543	0.251332507560607
2	33	389.218244482759	364.164571245845	2.13309869583962	0.0336251737386753	364.786359303668	403.000289199176	332.024238646409	0.0674334113129578
2	34	387.953396035242	363.413421606652	1.75660058945349	0.0801828623391544	360.952456674156	405.265465384099	337.531026026542	0.133910279262946
2	35	390.145164732143	362.652903441853	2.051386684196	0.0412486241483668	359.76714423955	406.980164986117	344.318586540284	0.0793987600977952
2	36	386.872822483221	360.405002082948	2.21088330152552	0.0276859438642075	356.320310370607	406.982455019436	330.692727349579	0.0568984309991233
2	37	386.845597983871	357.590043910923	2.13482476559423	0.0336344697890241	352.157274334244	406.871584092702	335.582523246606	0.0674334113129578
2	38	379.999244303797	355.897547679537	1.96944350525184	0.0496445376349182	348.254637314577	397.985090331355	341.388592116358	0.0916858577942182
2	39	392.460310927152	355.805791609222	2.88141308642493	0.00420338761640902	346.573015262868	396.741533082596	357.857161894612	0.0123540424568294
2	40	369.783547478992	355.149034990767	1.04470818069349	0.297098712021962	346.585284353842	396.754097473118	354.961145587798	0.398724949031111
2	41	401.323360416667	355.365849688409	3.41923077217787	0.000706905261433871	346.964544551562	388.793483838235	381.423839650943	0.00274721476007476
3	4	255.455175621891	356.415682708193	-7.25382237777377	5.25214309298939e-12	NA	389.91927439781	NA	1.10429675288495e-10
3	5	318.543064615385	356.314735552798	-2.25487066084879	0.0255984564840615	NA	397.383788938272	NA	0.053411537702113
3	6	320.173049685535	357.7073956432	-2.39633735026244	0.0175502707950658	NA	401.551490228395	NA	0.0393202788304753
3	7	367.430306730769	356.175714571864	0.7670937486194	0.443756638590484	NA	403.680854077491	NA	0.549668343873409
3	8	361.059267821782	354.692349610211	0.426611284433756	0.670048992097461	NA	401.928428026961	NA	0.766022338168857
3	9	350.504519774011	354.172319895252	-0.240460902055163	0.810214486561952	NA	376.189992319678	215.15343445122	0.870741650040368
3	10	379.136681521739	352.578078174502	2.09309535541856	0.0374718826837288	225.1190215311	370.877728781179	298.461514498645	0.0732967163751067
3	11	385.044798076923	351.844999427117	2.09583545937198	0.0375422205823717	276.678048383085	366.834459780732	293.191954664723	0.0732967163751067
3	12	382.95458839779	351.005099886344	2.15554485538561	0.0322895127049356	284.214456416765	367.943741933293	285.629134388186	0.0653762973285115
3	13	408.011200454545	351.487943285418	4.02692939404075	7.49817842888236e-05	284.97722840939	366.646024265267	315.514256428098	0.000396677826560228
3	14	394.12432961165	351.990178747369	2.7625120676116	0.00620208354500651	294.409946271079	364.311247375897	312.308101938998	0.0169585162939095
3	15	378.438987830688	354.051017759188	1.63792189545385	0.102927167022689	302.794656913872	377.830788035662	316.660647796078	0.167460866981359
3	16	383.294777464789	356.315384497083	1.95672471335116	0.0515278853775214	312.483018096519	380.337736134534	329.706880836735	0.0945254273144689
3	17	409.801210493827	358.288897123883	3.176960322241	0.00175611204090969	320.178825286504	386.759101771534	339.081295692935	0.00588125819721543
3	18	392.306661256544	359.887514503504	2.19987409136612	0.0288873729479825	328.923673260751	391.84929121486	337.864732298985	0.0590714359534805
3	19	395.034508733624	362.467205457072	2.45159643577251	0.0148693844355319	337.239259332831	394.785229917067	337.3039032263	0.0348368435346748
3	20	404.977353658537	364.098756617329	2.67173449559594	0.00822988240459928	344.17185164681	399.452652294254	353.006889348014	0.0213560239613019
3	21	392.83400877193	363.157380658997	2.02321628376563	0.0444364129712343	348.769915131256	398.883934633615	347.365479127572	0.0835730702670004
3	22	391.955109389671	362.1410044075	2.09398592806836	0.0373052425677005	351.33346164696	398.957531330195	344.924065992141	0.073182533266781
3	23	408.474068211921	361.384811740002	2.81027430925829	0.00555147391016932	353.51307683013	395.903398405681	361.950426614435	0.0153447259529276
3	24	396.882154913295	361.432612749101	2.41610048407964	0.0166182998314174	357.917956032887	392.917366930844	355.797444663212	0.0381708847668411
3	25	395.699922277228	361.413836545003	2.50145109016834	0.0130700470259489	360.264233679619	392.705553854552	357.567450893773	0.0313375396528599
